Fp1,Fp2,F3,F4,F7,F8,T3,T4,C3,C4,T5,T6,P3,P4,O1,O2,target
-28.570999,-23.365999,-23.903,-15.228,-30.759001,-6.0606,-19.066999,0.84553,-21.782,-6.1279,-18.587999,5.9837,-18.09,0.92409,-16.204,6.9622,0
-26.601,-20.452999,-18.722,-11.168,-29.768999,-5.0505,-17.066999,1.8211,-12.871,-4.1077,-9.7209,7.935,-8.0402,6.8647,-10.463,10.903,0
-23.645,-18.511,-14.577,-9.1371,-27.789,-3.0303,-7.0667,1.8211,-6.9307,0.94276,4.0722,11.837,6.0302,12.805,-12.376,14.844,0
-26.601,-22.395,-16.649,-12.183,-27.789,-7.0707,-5.0667,-3.0569,-6.9307,-4.1077,6.0427,5.9837,7.0352,6.8647,-1.8501,6.9622,0
-24.631001,-21.424,-17.686001,-13.198,-23.827999,-8.0808,-6.0667,-4.0325,-6.9307,-8.1481,4.0722,0.13008,5.0251,-1.0561,-3.764,-2.89,0
-24.631001,-21.424,-17.686001,-15.228,-21.848,-15.152,-12.067,-8.9106,-7.9208,-15.219,-3.8095,-9.626,-5.0251,-11.947,-5.6778,-16.683001,0
-26.601,-21.424,-17.686001,-16.243999,-20.858,-9.0909,-10.067,-7.935,-6.9307,-16.229,-2.8243,-8.6504,-7.0352,-15.908,5.8054,-15.698,0
-26.601,-21.424,-19.757999,-17.259001,-22.837999,-6.0606,-8.0667,-5.9837,-11.881,-14.209,-3.8095,-3.7724,-10.05,-13.927,3.8915,-6.8309,0
-29.556999,-23.365999,-20.794001,-16.243999,-26.799,-9.0909,-9.0667,-5.0081,-15.842,-14.209,-5.78,0.13008,-13.065,-10.957,-4.7209,1.0509,0
-25.615999,-23.365999,-20.794001,-15.228,-29.768999,-10.101,-11.067,-3.0569,-16.832001,-10.168,-10.706,6.9593,-17.084999,-6.0066,-0.89314,7.9475,0
-27.586,-22.395,-17.686001,-13.198,-26.799,-12.121,-15.067,0.84553,-11.881,-5.1178,-7.7504,12.813,-10.05,1.9142,-2.807,16.813999,0
-26.601,-24.337,-19.757999,-15.228,-23.827999,-13.131,-15.067,-3.0569,-7.9208,-4.1077,-3.8095,11.837,-4.0201,5.8746,-10.463,15.829,0
-23.645,-18.511,-12.504,-10.152,-22.837999,-8.0808,-6.0667,-0.13008,-3.9604,-2.0875,2.1018,10.862,4.0201,9.835,-9.5056,13.859,0
-20.690001,-17.540001,-11.468,-8.1218,-21.848,-6.0606,-6.0667,0.84553,1.9802,0.94276,7.0279,10.862,9.0452,12.805,-8.5486,10.903,0
-22.66,-18.511,-5.2504,-3.0457,-17.888,-6.0606,-5.0667,-0.13008,3.9604,2.963,7.0279,9.8862,11.055,11.815,-10.463,6.9622,0
-17.733999,-15.599,-5.2504,-3.0457,-14.917,-4.0404,-3.0667,-0.13008,1.9802,1.9529,7.0279,5.9837,9.0452,6.8647,-0.89314,0.06568,0
-17.733999,-14.628,-8.3592,-6.0914,-23.827999,-7.0707,-0.06667,-4.0325,-0.9901,-5.1178,5.0575,3.0569,2.0101,-2.0462,1.9777,-3.8752,0
-18.719,-16.57,-14.577,-14.213,-23.827999,-12.121,-3.0667,-7.935,-4.9505,-13.199,0.13136,-0.84553,-4.0201,-9.967,-3.764,-4.8604,0
-21.674999,-18.511,-15.613,-15.228,-20.858,-14.141,-8.0667,-10.862,-8.9109,-16.229,-2.8243,-3.7724,-6.0302,-12.937,-8.5486,-1.9048,0
-18.719,-15.599,-12.504,-11.168,-15.908,-9.0909,-6.0667,-7.935,-6.9307,-9.1582,-3.8095,-1.8211,-1.005,-5.0165,-1.8501,4.0066,0
-15.764,-11.715,-8.3592,-5.0761,-17.888,-4.0404,-9.0667,-3.0569,-2.9703,-0.06734,-3.8095,4.0325,1.005,4.8845,5.8054,9.9179,0
